id,Proverbs,Meaning
1,Absence makes the heart grow fonder,Being away from someone or something for a period of time makes you appreciate that person or thing more when you see them or it again.
2,Actions speak louder than words.,What you do is more important than what you say.
3,A journey of a thousand miles begins with a single step,You must begin something if you hope to finish it; something that takes a long time to finish begins with one step.
4,All good things must come to an end,Everything ends; good times don't last forever.
5,A picture is worth a thousand words,An image can tell a story better than words.
6,A watched pot never boils,If something takes time to do it doesn't help to constantly check on it. You just have to give it time.
7,Beggars can't be choosers,If you're in a bad situation and someone offers to help you you have to take whatever they give you and shouldn't ask for more.
8,Beauty is in the eye of the beholder,What is “beautiful” is different for each person.
9,Better late than never,It's better to finish something late than to never do it at all.
10,Birds of a feather flock together,People who are similar spend time together.
11,Cleanliness is next to godliness,It's good to be clean. God is clean and you should be too.
12,Don't bite the hand that feeds you,Don't make someone angry or hurt someone who is helping you or paying for you.
13,Don't count your chickens before they hatch.,Don't expect a positive result before you actually see it.
14,Don't judge a book by its cover.,Don't judge someone or something by appearance alone
15,Don't put all of your eggs in one basket.,Don't put all of your hopes and resources into one goal or dream.
16,Don't put off until tomorrow what you can do today.,If you can do something today do it. Don't wait until tomorrow; don't procrastinate.
17,	Don't put too many irons in the fire.,Don't try to do too many things at the same time; focus on one thing at a time.
18,Easy come easy go.,When you make money quickly it's very easy to lose it quickly as well.
19,Fortune favors the bold.,People who are brave and who take risks are more successful than people who are do things safely all the time.
20,God helps those who help themselves.,Don't just wait for good things to happen to you. Work hard to make them happen.
21,Good things come to those who wait.,	If you are patient good things can happen.
22,Honesty is the best policy.,It's always better to tell the truth than it is to lie.
23,Hope for the best prepare for the worst.,In any situation be optimistic about the result but always be ready for the worst outcome.
24,	If it ain't broke don't fix it.,If something is already working well don't try to change it or improve it.
25,If you can't beat 'em join 'em.,If you can't change someone's behavior or opinion sometimes it's better or easier to do what they want to do.
26,If you play with fire you'll get burned.,If you get involved in something dangerous or beyond your abilities you will probably experience negative consequences.
27,If you want something done right you have to do it yourself.,Don't depend on someone else to do a good job; do it yourself.
28,	Keep your friends close and your enemies closer.,If someone is your enemy treat them like a friend so you can be ready if they ever try to betray you.
29,Knowledge is power.,The more you know the more powerful you can be in different areas of your life.
30,Laughter is the best medicine.,	When you're in a difficult situation laughing can make it easier to get through that situation.
31,Like father like son.,Said when a son is similar to his father; also “Like mother like daughter”.
32,No man is an island.,No one is truly capable of living alone. We need human connection to be healthy.
33,People who live in glass houses should not throw stones.,Don't criticize someone if you're not perfect either; don't be a hyprocrite.
34,Practice makes perfect.,	The more you do something the better you will become at it.
35,The early bird gets the worm.,People who wake up early or who get to places early have a better chance of success.
36,The enemy of my enemy is my friend.,If someone whom I don't like doesn't like someone else whom I don't like we can act like friends and unite against the other person (common in war).
37,The grass is always greener on the other side.,People always want what they don't have.
38,The pen is mightier than the sword.,If you're trying to convince someone of something words and ideas are stronger than using physical force (common in politics).
39,There is no place like home.,Your home is the most comfortable place in the world.
40,There is no such thing as a free lunch.,Nothing is free. Even the things that are free have a hidden cost.
41,There is no time like the present.,Don't wait to do something. Do it now.
42,The squeaky wheel gets the grease.,The person who complains in a situation is more likely to get something.
43,Time is money.,Don't waste your time or other people's time; also if you can use your time to make money in some way you should do that.
44,Two heads are better than one.,It's easier to do something as a team than by yourself.
45,Two wrongs don't make a right.,Trying to get revenge on someone who has hurt you will only make things worse.
46,When in Rome do as the Romans do.,When you are in a new place or situation try to act like the majority of people in that place or situation.
47,When the going gets tough the tough get going.,When a situation becomes difficult strong people don't give up; they work harder.
48,Where there's smoke there's fire.,If something seems wrong it probably is; also there is usually some truth to a rumor.
49,You can lead a horse to water but you can't make him drink it.,You can try to help someone by giving good advice but you can't force them to accept it or follow it.
50,You can't always get what you want.,Don't complain if you don't get what you want.